servers,clients,messages,mean,median,min,max,std
2,10,1,0.0092622,0.0045595,0.003445,0.047418,0.01274869685402638
2,10,10,0.010008600000000001,0.00435,0.003246,0.043531,0.012756804687478866
2,20,1,0.006537862068965517,0.005412,0.0034,0.014573,0.002675381982553348
2,20,10,0.007725,0.005602,0.003865,0.023489,0.004811312180325832
4,10,1,0.006772379310344827,0.004266,0.003311,0.035159,0.008136842075284988
4,10,10,0.0086563,0.0046654999999999995,0.003255,0.0468,0.012733686876102329
4,20,1,0.006309535714285714,0.005249,0.00345,0.016873,0.0033065732438406865
4,20,10,0.007692913793103448,0.005235,0.003694,0.029214,0.006407778294904445
