servers,clients,messages,0
2,10,1,2307692307.6923075
2,10,10,2230769230.769231
2,20,1,3222222222.2222223
2,20,10,3411764705.882353
4,10,1,2416666666.6666665
4,10,10,2333333333.3333335
4,20,1,3111111111.111111
4,20,10,3352941176.470588
