servers,clients,messages,mean,median,min,max,std
2,10,1,0.009684666666666668,0.005695,0.00428,0.039417,0.010325597230229326
2,10,10,0.010677931034482759,0.005986,0.004956,0.03811,0.010521761204865693
2,20,1,0.01013548275862069,0.007988,0.004244,0.034683,0.0068372786297693795
2,20,10,0.008978689655172414,0.007337,0.004493,0.023847,0.004931954152427362
4,10,1,0.005971000000000001,0.006051,0.00486,0.007282,0.000649533403957905
4,10,10,0.005999642857142857,0.005485,0.004383,0.022612,0.0033162925664427414
4,20,1,0.006771446428571429,0.005974999999999999,0.004377,0.018799,0.002897201031212667
4,20,10,0.009366578947368422,0.006406,0.004064,0.0369,0.008068596403755224
