client_id,message_id,server_id,client_send_time,server_processing_time,client_receive_time,response_time,num_servers,num_clients,num_messages
client_1_7630,1000,server-deployment-go-dcb74b7d6-4vx8p,1752846369.766722,0.001951,1752846371.818315,2.051593,2,10,1000
client_1_2569,1000,server-deployment-go-dcb74b7d6-bjlkn,1752846369.325414,0.001936,1752846371.437145,2.111730,2,10,1000
client_1_2242,1000,server-deployment-go-dcb74b7d6-bjlkn,1752846369.388762,0.001947,1752846371.509235,2.120473,2,10,1000
client_1_2337,1000,server-deployment-go-dcb74b7d6-bjlkn,1752846369.617624,0.001945,1752846371.706861,2.089237,2,10,1000
client_1_2286,1000,server-deployment-go-dcb74b7d6-bjlkn,1752846369.660016,0.001940,1752846371.738015,2.077999,2,10,1000
client_1_3130,1000,server-deployment-go-dcb74b7d6-bjlkn,1752846369.735855,0.001947,1752846371.802036,2.066181,2,10,1000
client_1_8576,1,server-deployment-go-5ccff8645-9tgxh,1752846395.119289,0.001276,1752846395.126655,0.007367,2,20,1
client_1_7187,1,server-deployment-go-5ccff8645-9tgxh,1752846395.176857,0.001565,1752846395.178782,0.001925,2,20,1
client_1_8851,1,server-deployment-go-5ccff8645-9tgxh,1752846395.288551,0.001824,1752846395.290945,0.002394,2,20,1
client_1_3512,1,server-deployment-go-5ccff8645-9tgxh,1752846395.321028,0.001549,1752846395.323007,0.001979,2,20,1
client_1_3697,1,server-deployment-go-5ccff8645-9tgxh,1752846395.338145,0.002283,1752846395.341251,0.003106,2,20,1
client_1_5644,1,server-deployment-go-5ccff8645-9tgxh,1752846395.438939,0.001603,1752846395.441191,0.002252,2,20,1
client_1_6980,1,server-deployment-go-5ccff8645-9tgxh,1752846395.484766,0.001730,1752846395.487056,0.002291,2,20,1
client_1_4010,1,server-deployment-go-5ccff8645-9tgxh,1752846395.491209,0.001290,1752846395.493351,0.002142,2,20,1
client_1_8339,1,server-deployment-go-5ccff8645-9tgxh,1752846395.536811,0.001786,1752846395.539062,0.002251,2,20,1
client_1_1944,1,server-deployment-go-5ccff8645-snssj,1752846394.727192,0.001641,1752846394.730030,0.002838,2,20,1
client_1_9997,1,server-deployment-go-5ccff8645-snssj,1752846395.015299,0.001972,1752846395.018980,0.003681,2,20,1
client_1_6955,1,server-deployment-go-5ccff8645-snssj,1752846395.035169,0.001530,1752846395.039551,0.004383,2,20,1
client_1_7760,1,server-deployment-go-5ccff8645-snssj,1752846395.086887,0.001422,1752846395.089812,0.002925,2,20,1
client_1_1027,1,server-deployment-go-5ccff8645-snssj,1752846395.117844,0.002038,1752846395.120840,0.002995,2,20,1
client_1_8214,1,server-deployment-go-5ccff8645-snssj,1752846395.197221,0.002579,1752846395.200139,0.002918,2,20,1
client_1_2918,1,server-deployment-go-5ccff8645-snssj,1752846395.197868,0.001890,1752846395.200232,0.002364,2,20,1
client_1_5217,1,server-deployment-go-5ccff8645-snssj,1752846395.326154,0.005065,1752846395.356313,0.030159,2,20,1
client_1_3117,1,server-deployment-go-5ccff8645-snssj,1752846395.437612,0.001414,1752846395.442017,0.004405,2,20,1
client_1_2013,1,server-deployment-go-5ccff8645-snssj,1752846395.455411,0.002087,1752846395.470286,0.014875,2,20,1
client_1_8516,1,server-deployment-go-5ccff8645-snssj,1752846395.515680,0.001962,1752846395.518056,0.002376,2,20,1
