client_id,message_id,server_id,client_send_time,server_processing_time,client_receive_time,response_time,num_servers,num_clients,num_messages
client_1_1886,1,server-deployment-python-f59fdd846-hxjwj,1752844911.580320,0.003929,1752844911.584633,0.004313,2,10,1
client_1_9137,1,server-deployment-python-f59fdd846-hxjwj,1752844911.663459,0.002009,1752844911.665778,0.002319,2,10,1
client_1_1498,1,server-deployment-python-f59fdd846-hxjwj,1752844911.717070,0.001300,1752844911.718635,0.001565,2,10,1
client_1_4522,1,server-deployment-python-f59fdd846-hxjwj,1752844911.751019,0.001353,1752844911.752624,0.001605,2,10,1
client_1_5054,1,server-deployment-python-f59fdd846-hxjwj,1752844911.760768,0.001617,1752844911.762622,0.001854,2,10,1
client_1_8126,1,server-deployment-python-f59fdd846-hxjwj,1752844911.763775,0.001662,1752844911.765610,0.001835,2,10,1
client_1_9936,1,server-deployment-python-f59fdd846-xxq4v,1752844911.584842,0.003402,1752844911.588630,0.003788,2,10,1
client_1_5159,1,server-deployment-python-f59fdd846-xxq4v,1752844911.713543,0.001840,1752844911.715670,0.002127,2,10,1
client_1_7756,1,server-deployment-python-f59fdd846-xxq4v,1752844911.758369,0.001973,1752844911.760636,0.002266,2,10,1
client_1_2697,1,server-deployment-python-f59fdd846-xxq4v,1752844911.762391,0.002052,1752844911.764616,0.002225,2,10,1
client_1_6334,10,server-deployment-python-56b59d87b8-8ktrm,1752844918.559767,0.002137,1752844918.582373,0.022607,2,10,10
client_1_5394,10,server-deployment-python-56b59d87b8-8ktrm,1752844918.596328,0.001886,1752844918.616363,0.020035,2,10,10
client_1_9402,10,server-deployment-python-56b59d87b8-8ktrm,1752844918.612406,0.001904,1752844918.632368,0.019962,2,10,10
client_1_5537,10,server-deployment-python-56b59d87b8-8ktrm,1752844918.613485,0.001899,1752844918.633356,0.019871,2,10,10
client_1_5911,10,server-deployment-python-56b59d87b8-q2rg2,1752844918.436840,0.002108,1752844918.459444,0.022604,2,10,10
client_1_6594,10,server-deployment-python-56b59d87b8-q2rg2,1752844918.538058,0.001822,1752844918.557392,0.019334,2,10,10
client_1_5322,10,server-deployment-python-56b59d87b8-q2rg2,1752844918.540656,0.001850,1752844918.560396,0.019740,2,10,10
client_1_8895,10,server-deployment-python-56b59d87b8-q2rg2,1752844918.556294,0.001866,1752844918.576364,0.020070,2,10,10
client_1_4385,10,server-deployment-python-56b59d87b8-q2rg2,1752844918.585236,0.001912,1752844918.605379,0.020142,2,10,10
client_1_4007,10,server-deployment-python-56b59d87b8-q2rg2,1752844918.611822,0.001851,1752844918.631368,0.019546,2,10,10
client_1_5822,100,server-deployment-python-76bc85cd46-54xmp,1752844925.525426,0.001861,1752844925.728530,0.203104,2,10,100
client_1_6502,100,server-deployment-python-76bc85cd46-54xmp,1752844925.526657,0.001862,1752844925.728584,0.201927,2,10,100
client_1_5331,100,server-deployment-python-76bc85cd46-54xmp,1752844925.546015,0.001910,1752844925.746366,0.200351,2,10,100
client_1_4526,100,server-deployment-python-76bc85cd46-54xmp,1752844925.549826,0.001928,1752844925.749371,0.199544,2,10,100
client_1_6179,100,server-deployment-python-76bc85cd46-54xmp,1752844925.587003,0.001905,1752844925.786367,0.199364,2,10,100
client_1_1496,100,server-deployment-python-76bc85cd46-54xmp,1752844925.587795,0.001935,1752844925.787412,0.199617,2,10,100
client_1_1803,100,server-deployment-python-76bc85cd46-54xmp,1752844925.604020,0.001935,1752844925.805394,0.201375,2,10,100
client_1_3512,100,server-deployment-python-76bc85cd46-ps9wf,1752844925.548116,0.001926,1752844925.750453,0.202337,2,10,100
client_1_5394,100,server-deployment-python-76bc85cd46-ps9wf,1752844925.569417,0.001955,1752844925.769386,0.199969,2,10,100
client_1_2649,100,server-deployment-python-76bc85cd46-ps9wf,1752844925.606368,0.001938,1752844925.806425,0.200056,2,10,100
client_1_4136,500,server-deployment-python-79589cbcc8-lqkb8,1752844932.591252,0.001916,1752844933.594375,1.003124,2,10,500
client_1_1092,500,server-deployment-python-79589cbcc8-lqkb8,1752844932.602843,0.001906,1752844933.598364,0.995521,2,10,500
client_1_4019,500,server-deployment-python-79589cbcc8-lqkb8,1752844932.609373,0.001934,1752844933.610395,1.001022,2,10,500
client_1_4568,500,server-deployment-python-79589cbcc8-lqkb8,1752844932.644271,0.001915,1752844933.646367,1.002095,2,10,500
client_1_3858,500,server-deployment-python-79589cbcc8-vrzmf,1752844932.535481,0.001925,1752844933.541628,1.006147,2,10,500
client_1_6027,500,server-deployment-python-79589cbcc8-vrzmf,1752844932.596529,0.001933,1752844933.599367,1.002838,2,10,500
client_1_8494,500,server-deployment-python-79589cbcc8-vrzmf,1752844932.577621,0.001909,1752844933.581463,1.003842,2,10,500
client_1_2407,500,server-deployment-python-79589cbcc8-vrzmf,1752844932.629877,0.001909,1752844933.630362,1.000485,2,10,500
client_1_1350,500,server-deployment-python-79589cbcc8-vrzmf,1752844932.623669,0.001916,1752844933.621363,0.997694,2,10,500
client_1_3456,500,server-deployment-python-79589cbcc8-vrzmf,1752844932.644826,0.001927,1752844933.646385,1.001559,2,10,500
client_1_6909,1000,server-deployment-python-97d6d5d56-s4ccg,1752844940.651048,0.001914,1752844942.652361,2.001313,2,10,1000
client_1_2625,1000,server-deployment-python-97d6d5d56-s4ccg,1752844940.667889,0.001898,1752844942.668365,2.000476,2,10,1000
client_1_9631,1000,server-deployment-python-97d6d5d56-s4ccg,1752844940.641610,0.001914,1752844942.644585,2.002975,2,10,1000
client_1_5656,1000,server-deployment-python-97d6d5d56-s4ccg,1752844940.662672,0.001896,1752844942.665364,2.002692,2,10,1000
client_1_9971,1000,server-deployment-python-97d6d5d56-s4ccg,1752844940.678669,0.001893,1752844942.679403,2.000733,2,10,1000
client_1_1158,1000,server-deployment-python-97d6d5d56-s4ccg,1752844940.720130,0.001906,1752844942.720439,2.000309,2,10,1000
client_1_9284,1000,server-deployment-python-97d6d5d56-s4ccg,1752844940.719271,0.001901,1752844942.719401,2.000130,2,10,1000
client_1_8691,1000,server-deployment-python-97d6d5d56-s4ccg,1752844940.734576,0.001904,1752844942.734394,1.999817,2,10,1000
client_1_9261,1000,server-deployment-python-97d6d5d56-s4ccg,1752844940.733764,0.001909,1752844942.735366,2.001603,2,10,1000
client_1_8435,1000,server-deployment-python-97d6d5d56-vzwhq,1752844940.689466,0.001957,1752844942.692365,2.002899,2,10,1000
client_1_8196,1,server-deployment-python-6c49d65b8c-78zb6,1752844949.916444,0.004367,1752844949.921139,0.004695,2,20,1
client_1_6123,1,server-deployment-python-6c49d65b8c-78zb6,1752844950.055215,0.001807,1752844950.057349,0.002134,2,20,1
client_1_6394,1,server-deployment-python-6c49d65b8c-78zb6,1752844950.119731,0.001497,1752844950.121552,0.001822,2,20,1
client_1_8858,1,server-deployment-python-6c49d65b8c-78zb6,1752844950.141764,0.001155,1752844950.143167,0.001403,2,20,1
client_1_2944,1,server-deployment-python-6c49d65b8c-78zb6,1752844950.145142,0.001703,1752844950.147139,0.001996,2,20,1
client_1_7181,1,server-deployment-python-6c49d65b8c-78zb6,1752844950.163188,0.001685,1752844950.165147,0.001960,2,20,1
client_1_8440,1,server-deployment-python-6c49d65b8c-78zb6,1752844950.167361,0.001626,1752844950.169215,0.001853,2,20,1
client_1_7398,1,server-deployment-python-6c49d65b8c-78zb6,1752844950.169770,0.001221,1752844950.171156,0.001386,2,20,1
client_1_2245,1,server-deployment-python-6c49d65b8c-78zb6,1752844950.233279,0.001549,1752844950.235159,0.001880,2,20,1
client_1_7544,1,server-deployment-python-6c49d65b8c-78zb6,1752844950.238408,0.001487,1752844950.240129,0.001721,2,20,1
client_1_3936,1,server-deployment-python-6c49d65b8c-7r9lr,1752844949.832823,0.004836,1752844949.838167,0.005344,2,20,1
client_1_7080,1,server-deployment-python-6c49d65b8c-7r9lr,1752844949.954393,0.001414,1752844949.956138,0.001745,2,20,1
client_1_9419,1,server-deployment-python-6c49d65b8c-7r9lr,1752844949.976260,0.001225,1752844949.978151,0.001891,2,20,1
client_1_7557,1,server-deployment-python-6c49d65b8c-7r9lr,1752844950.066446,0.001966,1752844950.069266,0.002820,2,20,1
client_1_5457,1,server-deployment-python-6c49d65b8c-7r9lr,1752844950.170887,0.002299,1752844950.173485,0.002598,2,20,1
client_1_7227,1,server-deployment-python-6c49d65b8c-7r9lr,1752844950.212891,0.001945,1752844950.215137,0.002246,2,20,1
client_1_4330,1,server-deployment-python-6c49d65b8c-7r9lr,1752844950.225361,0.001519,1752844950.227118,0.001758,2,20,1
client_1_6992,1,server-deployment-python-6c49d65b8c-7r9lr,1752844950.229734,0.001217,1752844950.231147,0.001413,2,20,1
client_1_2113,1,server-deployment-python-6c49d65b8c-7r9lr,1752844950.230443,0.001482,1752844950.232153,0.001710,2,20,1
client_1_4074,1,server-deployment-python-6c49d65b8c-7r9lr,1752844950.236392,0.001526,1752844950.238165,0.001773,2,20,1
client_1_5755,10,server-deployment-python-7dbcdd4c95-7wn68,1752844958.031266,0.002166,1752844958.054177,0.022911,2,20,10
client_1_3401,10,server-deployment-python-7dbcdd4c95-7wn68,1752844958.050903,0.002144,1752844958.075524,0.024621,2,20,10
client_1_1204,10,server-deployment-python-7dbcdd4c95-7wn68,1752844958.065709,0.001859,1752844958.086219,0.020510,2,20,10
client_1_6659,10,server-deployment-python-7dbcdd4c95-7wn68,1752844958.200470,0.001808,1752844958.220130,0.019660,2,20,10
client_1_8500,10,server-deployment-python-7dbcdd4c95-7wn68,1752844958.209192,0.001845,1752844958.229142,0.019950,2,20,10
client_1_5377,10,server-deployment-python-7dbcdd4c95-7wn68,1752844958.266553,0.001855,1752844958.286144,0.019590,2,20,10
client_1_1022,10,server-deployment-python-7dbcdd4c95-7wn68,1752844958.286866,0.001816,1752844958.306216,0.019350,2,20,10
client_1_7065,10,server-deployment-python-7dbcdd4c95-7wn68,1752844958.321951,0.002002,1752844958.343143,0.021192,2,20,10
client_1_7195,10,server-deployment-python-7dbcdd4c95-7wn68,1752844958.341462,0.001885,1752844958.361130,0.019668,2,20,10
client_1_6824,10,server-deployment-python-7dbcdd4c95-7wn68,1752844958.349973,0.001930,1752844958.370216,0.020243,2,20,10
client_1_2145,10,server-deployment-python-7dbcdd4c95-7wn68,1752844958.361356,0.001891,1752844958.381154,0.019798,2,20,10
client_1_9811,10,server-deployment-python-7dbcdd4c95-b59n6,1752844958.162776,0.002123,1752844958.185193,0.022417,2,20,10
client_1_3445,10,server-deployment-python-7dbcdd4c95-b59n6,1752844958.192420,0.001852,1752844958.212148,0.019728,2,20,10
client_1_5348,10,server-deployment-python-7dbcdd4c95-b59n6,1752844958.280443,0.001862,1752844958.300141,0.019698,2,20,10
client_1_1240,10,server-deployment-python-7dbcdd4c95-b59n6,1752844958.300472,0.001797,1752844958.320236,0.019765,2,20,10
client_1_8470,10,server-deployment-python-7dbcdd4c95-b59n6,1752844958.304047,0.001852,1752844958.324167,0.020120,2,20,10
client_1_2970,10,server-deployment-python-7dbcdd4c95-b59n6,1752844958.306841,0.001937,1752844958.327130,0.020289,2,20,10
client_1_9959,10,server-deployment-python-7dbcdd4c95-b59n6,1752844958.308383,0.001814,1752844958.328128,0.019745,2,20,10
client_1_3578,10,server-deployment-python-7dbcdd4c95-b59n6,1752844958.359505,0.001861,1752844958.379246,0.019742,2,20,10
client_1_4509,10,server-deployment-python-7dbcdd4c95-b59n6,1752844958.362033,0.002211,1752844958.385131,0.023098,2,20,10
client_1_3719,100,server-deployment-python-679bc989c9-9fx7s,1752844966.206237,0.001976,1752844966.426193,0.219957,2,20,100
client_1_7957,100,server-deployment-python-679bc989c9-9fx7s,1752844966.279806,0.001993,1752844966.488395,0.208589,2,20,100
client_1_5872,100,server-deployment-python-679bc989c9-9fx7s,1752844966.373952,0.001917,1752844966.578348,0.204396,2,20,100
client_1_2247,100,server-deployment-python-679bc989c9-9fx7s,1752844966.450387,0.001947,1752844966.652140,0.201752,2,20,100
client_1_7710,100,server-deployment-python-679bc989c9-9fx7s,1752844966.460333,0.001933,1752844966.665617,0.205284,2,20,100
client_1_9380,100,server-deployment-python-679bc989c9-9fx7s,1752844966.472456,0.001919,1752844966.673138,0.200682,2,20,100
client_1_7613,100,server-deployment-python-679bc989c9-9fx7s,1752844966.489803,0.001975,1752844966.694166,0.204363,2,20,100
client_1_7234,100,server-deployment-python-679bc989c9-9fx7s,1752844966.506894,0.001947,1752844966.709322,0.202429,2,20,100
client_1_8480,100,server-deployment-python-679bc989c9-cc5tv,1752844966.276709,0.001972,1752844966.498343,0.221634,2,20,100
client_1_6010,100,server-deployment-python-679bc989c9-cc5tv,1752844966.321013,0.001913,1752844966.522281,0.201268,2,20,100
client_1_6470,100,server-deployment-python-679bc989c9-cc5tv,1752844966.361974,0.001969,1752844966.569150,0.207175,2,20,100
client_1_2679,100,server-deployment-python-679bc989c9-cc5tv,1752844966.406442,0.001874,1752844966.608379,0.201936,2,20,100
client_1_3436,100,server-deployment-python-679bc989c9-cc5tv,1752844966.419724,0.002048,1752844966.639387,0.219664,2,20,100
client_1_1911,100,server-deployment-python-679bc989c9-cc5tv,1752844966.447549,0.001965,1752844966.657390,0.209841,2,20,100
client_1_9523,100,server-deployment-python-679bc989c9-cc5tv,1752844966.454669,0.001928,1752844966.661442,0.206773,2,20,100
client_1_3080,100,server-deployment-python-679bc989c9-cc5tv,1752844966.450455,0.001965,1752844966.666310,0.215855,2,20,100
client_1_7630,100,server-deployment-python-679bc989c9-cc5tv,1752844966.497090,0.001982,1752844966.709639,0.212549,2,20,100
client_1_3952,100,server-deployment-python-679bc989c9-cc5tv,1752844966.508495,0.002024,1752844966.736155,0.227660,2,20,100
client_1_4196,100,server-deployment-python-679bc989c9-cc5tv,1752844966.504642,0.001931,1752844966.711478,0.206836,2,20,100
client_1_4681,100,server-deployment-python-679bc989c9-cc5tv,1752844966.510514,0.001920,1752844966.717248,0.206734,2,20,100
client_1_2486,500,server-deployment-python-5bcf857c75-n9z2b,1752844974.391674,0.001934,1752844975.407352,1.015678,2,20,500
client_1_4956,500,server-deployment-python-5bcf857c75-n9z2b,1752844974.493636,0.001946,1752844975.509433,1.015797,2,20,500
client_1_5237,500,server-deployment-python-5bcf857c75-n9z2b,1752844974.518955,0.001909,1752844975.531229,1.012275,2,20,500
client_1_5471,500,server-deployment-python-5bcf857c75-n9z2b,1752844974.655496,0.001926,1752844975.664124,1.008628,2,20,500
client_1_8555,500,server-deployment-python-5bcf857c75-n9z2b,1752844974.653481,0.001928,1752844975.663138,1.009657,2,20,500
client_1_8523,500,server-deployment-python-5bcf857c75-p97rm,1752844974.429785,0.001936,1752844975.467613,1.037828,2,20,500
client_1_9072,500,server-deployment-python-5bcf857c75-p97rm,1752844974.452046,0.001950,1752844975.504188,1.052142,2,20,500
client_1_6539,500,server-deployment-python-5bcf857c75-p97rm,1752844974.437035,0.001957,1752844975.480166,1.043131,2,20,500
client_1_9241,500,server-deployment-python-5bcf857c75-p97rm,1752844974.448627,0.001938,1752844975.484127,1.035499,2,20,500
client_1_1946,500,server-deployment-python-5bcf857c75-p97rm,1752844974.515707,0.001938,1752844975.549256,1.033548,2,20,500
client_1_8304,500,server-deployment-python-5bcf857c75-p97rm,1752844974.542611,0.001954,1752844975.583360,1.040749,2,20,500
client_1_8516,500,server-deployment-python-5bcf857c75-p97rm,1752844974.597497,0.001936,1752844975.633133,1.035637,2,20,500
client_1_2481,500,server-deployment-python-5bcf857c75-p97rm,1752844974.582282,0.001930,1752844975.613363,1.031081,2,20,500
client_1_1079,500,server-deployment-python-5bcf857c75-p97rm,1752844974.578871,0.001904,1752844975.608124,1.029253,2,20,500
client_1_5052,500,server-deployment-python-5bcf857c75-p97rm,1752844974.630485,0.001892,1752844975.654312,1.023827,2,20,500
client_1_1904,500,server-deployment-python-5bcf857c75-p97rm,1752844974.657553,0.001901,1752844975.682131,1.024578,2,20,500
client_1_7964,500,server-deployment-python-5bcf857c75-p97rm,1752844974.671752,0.001894,1752844975.692134,1.020381,2,20,500
client_1_3693,500,server-deployment-python-5bcf857c75-p97rm,1752844974.672544,0.001916,1752844975.697202,1.024658,2,20,500
client_1_4498,500,server-deployment-python-5bcf857c75-p97rm,1752844974.661992,0.001889,1752844975.687135,1.025143,2,20,500
client_1_7370,500,server-deployment-python-5bcf857c75-p97rm,1752844974.674690,0.001883,1752844975.695196,1.020506,2,20,500
client_1_4669,1000,server-deployment-python-747b657dc5-vh2sf,1752844983.524592,0.001919,1752844985.572148,2.047556,2,20,1000
client_1_1344,1000,server-deployment-python-747b657dc5-vh2sf,1752844983.578877,0.001901,1752844985.608170,2.029293,2,20,1000
client_1_6267,1000,server-deployment-python-747b657dc5-vh2sf,1752844983.700724,0.001909,1752844985.725021,2.024297,2,20,1000
client_1_4540,1000,server-deployment-python-747b657dc5-vh2sf,1752844983.774942,0.001928,1752844985.808819,2.033876,2,20,1000
client_1_3136,1000,server-deployment-python-747b657dc5-vh2sf,1752844983.825396,0.001912,1752844985.842990,2.017594,2,20,1000
client_1_3775,1000,server-deployment-python-747b657dc5-vh2sf,1752844983.857279,0.001890,1752844985.876606,2.019328,2,20,1000
client_1_5403,1000,server-deployment-python-747b657dc5-vh2sf,1752844983.885581,0.001893,1752844985.902816,2.017235,2,20,1000
client_1_9435,1000,server-deployment-python-747b657dc5-vh2sf,1752844983.929967,0.001880,1752844985.936823,2.006857,2,20,1000
client_1_9385,1000,server-deployment-python-747b657dc5-vh2sf,1752844983.918647,0.001879,1752844985.935834,2.017187,2,20,1000
client_1_8390,1000,server-deployment-python-747b657dc5-w7gnp,1752844983.590176,0.001918,1752844985.634821,2.044645,2,20,1000
client_1_2343,1000,server-deployment-python-747b657dc5-w7gnp,1752844983.679525,0.001889,1752844985.702124,2.022599,2,20,1000
client_1_1361,1000,server-deployment-python-747b657dc5-w7gnp,1752844983.723747,0.001872,1752844985.750102,2.026355,2,20,1000
client_1_6093,1000,server-deployment-python-747b657dc5-w7gnp,1752844983.701672,0.001905,1752844985.750911,2.049239,2,20,1000
client_1_3191,1000,server-deployment-python-747b657dc5-w7gnp,1752844983.761265,0.001891,1752844985.776898,2.015633,2,20,1000
client_1_9367,1000,server-deployment-python-747b657dc5-w7gnp,1752844983.821443,0.001920,1752844985.839915,2.018472,2,20,1000
client_1_3124,1000,server-deployment-python-747b657dc5-w7gnp,1752844983.873584,0.001867,1752844985.893894,2.020309,2,20,1000
client_1_2609,1000,server-deployment-python-747b657dc5-w7gnp,1752844983.880679,0.001863,1752844985.901857,2.021178,2,20,1000
client_1_8192,1000,server-deployment-python-747b657dc5-w7gnp,1752844983.903317,0.001903,1752844985.926826,2.023509,2,20,1000
client_1_6174,1000,server-deployment-python-747b657dc5-w7gnp,1752844983.926642,0.001875,1752844985.939824,2.013182,2,20,1000
client_1_7174,1000,server-deployment-python-747b657dc5-w7gnp,1752844983.938227,0.001884,1752844985.946838,2.008611,2,20,1000
client_1_2727,1,server-deployment-python-9d6cd9b68-9h7kf,1752844993.701738,0.004083,1752844993.708852,0.007114,2,30,1
client_1_2413,1,server-deployment-python-9d6cd9b68-9h7kf,1752844993.763981,0.001438,1752844993.765827,0.001846,2,30,1
client_1_3524,1,server-deployment-python-9d6cd9b68-9h7kf,1752844993.856641,0.001879,1752844993.858849,0.002208,2,30,1
client_1_8653,1,server-deployment-python-9d6cd9b68-9h7kf,1752844993.932761,0.001546,1752844993.934823,0.002062,2,30,1
client_1_7532,1,server-deployment-python-9d6cd9b68-9h7kf,1752844993.994984,0.002793,1752844993.998247,0.003263,2,30,1
client_1_8275,1,server-deployment-python-9d6cd9b68-9h7kf,1752844994.192383,0.001207,1752844994.193848,0.001465,2,30,1
client_1_8768,1,server-deployment-python-9d6cd9b68-9h7kf,1752844994.215296,0.001350,1752844994.216955,0.001658,2,30,1
client_1_4735,1,server-deployment-python-9d6cd9b68-9h7kf,1752844994.254768,0.001686,1752844994.256854,0.002085,2,30,1
client_1_3074,1,server-deployment-python-9d6cd9b68-9h7kf,1752844994.282732,0.001570,1752844994.284842,0.002109,2,30,1
client_1_3879,1,server-deployment-python-9d6cd9b68-9h7kf,1752844994.437488,0.001835,1752844994.440853,0.003365,2,30,1
client_1_7041,1,server-deployment-python-9d6cd9b68-9h7kf,1752844994.536727,0.002002,1752844994.541866,0.005139,2,30,1
client_1_1014,1,server-deployment-python-9d6cd9b68-9h7kf,1752844994.637332,0.001107,1752844994.638817,0.001485,2,30,1
client_1_6479,1,server-deployment-python-9d6cd9b68-9h7kf,1752844994.685967,0.001628,1752844994.687846,0.001879,2,30,1
client_1_5888,1,server-deployment-python-9d6cd9b68-9h7kf,1752844994.691011,0.001587,1752844994.692816,0.001805,2,30,1
client_1_4276,1,server-deployment-python-9d6cd9b68-9h7kf,1752844994.721940,0.001585,1752844994.723829,0.001889,2,30,1
client_1_1603,1,server-deployment-python-9d6cd9b68-9h7kf,1752844994.742156,0.001571,1752844994.743988,0.001832,2,30,1
client_1_9244,1,server-deployment-python-9d6cd9b68-9h7kf,1752844994.746175,0.001438,1752844994.747849,0.001674,2,30,1
client_1_8073,1,server-deployment-python-9d6cd9b68-9h7kf,1752844994.756499,0.002111,1752844994.758855,0.002356,2,30,1
